문제ID,설계, 난이도,내용,보기1,보기2,보기3,보기4,보기답
DESIGN_VT_015,설계,VERY TOUGH,"자연수 $n$에 대하여 $f(n) = \frac{1}{\sqrt{n+2} + \sqrt{n}}$일 때, $f(1) + f(3) + f(5) + \dots + f(99)$의 값은?","주어진 식 $f(n)$의 분모와 분자에 켤레무리수 $\sqrt{n+2} - \sqrt{n}$을 곱하여 분모를 유리화할 계획을 세운다.","분모가 합차공식에 의해 $n+2-n=2$로 간단해짐을 확인하고 식을 $f(n) = \frac{\sqrt{n+2} - \sqrt{n}}{2}$으로 정리한다.","$n$에 $1, 3, 5 \dots 99$를 차례대로 대입하여 나열한 후, 식 전체를 공통분모 $2$로 묶어 분자들의 긴 덧셈식을 만든다.","이웃하지 않고 한 칸씩 건너뛰면서 뒤의 항과 앞의 항이 소거되는 규칙성을 파악하여 남은 처음과 끝의 수만으로 계산한다.",1-2-3-4
DESIGN_VT_016,설계,VERY TOUGH,"시계가 $5$시 $x$분일 때 시침과 분침이 서로 반대 방향을 가리키며 일직선이 된다. 이때 분을 나타내는 $x$의 값은?","$12$시 정각을 $0^\circ$ 기준으로 했을 때, 분침이 $1$분에 $6^\circ$씩 움직이므로 $x$분 동안 움직인 각도가 $6x^\circ$임을 확인한다.","$5$시 정각일 때 시침의 기본 각도인 $150^\circ$에 시침이 $x$분 동안 미세하게 움직인 각도 $0.5x^\circ$를 더해 시침의 현재 각도를 구한다.","분침이 시침을 앞질러 반대 방향으로 일직선이 되므로, (분침의 각도) - (시침의 각도) = $180^\circ$라는 각도 차이 방정식을 세운다.","세워진 일차방정식 $6x - (150 + 0.5x) = 180$을 풀고 계산하여 $x$를 분수 형태로 정확하게 구한다.",1-2-3-4
DESIGN_VT_017,설계,VERY TOUGH,"$x = 3 - 2\sqrt{2}$일 때, 다항식 $\frac{x^3 - 3x^2 + x + 2}{x^2 - 2x}$의 값은?","주어진 무리수 식에서 유리수 부분인 $3$을 좌변으로 이항하여 $x-3 = -2\sqrt{2}$를 만든다.","등식의 양변을 제곱하고 전개하여 무리수를 없앤 $x^2 - 6x + 1 = 0$ 이라는 이차방정식 꼴의 조건을 유도해낸다.","분자의 삼차식을 직접 나눗셈이나 식의 변형을 통해 $(x^2 - 6x + 1)(x+3) + 18x - 1$ 형태로 바꾸어 차수를 크게 낮춘다.","차수가 낮아진 분자와 분모에 처음 주어진 $x$의 값을 각각 대입하고, 유리화를 거쳐 최종 값을 계산한다.",1-2-3-4
DESIGN_VT_018,설계,VERY TOUGH,"두 일차함수 $y=x+2$와 $y=-2x+8$의 그래프와 $x$축으로 둘러싸인 삼각형의 내부에 존재하는 정수 점 $(x, y)$의 개수는? (경계선 제외)","두 일차함수의 $x$절편인 $-2$와 $4$를 각각 구하여 삼각형이 놓인 $x$축 상의 가로 구간을 파악한다.","두 일차함수 식을 연립하여 꼭짓점(교점)의 좌표가 $(2, 4)$임을 구하고 내부 정수 점의 $y$좌표가 $1, 2, 3$만 가능함을 파악한다.","각각의 가능한 정수 $y$값($1, 2, 3$)마다 방정식에 대입하여 두 직선의 $x$값을 경계로 구한다.","각 $y$값 층별로 두 경계 $x$값 사이에 존재하는 정수 $x$의 개수를 직접 세고 그 결과를 모두 합산한다.",1-2-3-4
DESIGN_VT_019,설계,VERY TOUGH,"이차방정식 $x^2 - (a+1)x + a - 2 = 0$의 두 근 $\alpha, \beta$에 대하여 $\alpha^2 + \beta^2 = 5$를 만족하는 양수 $a$의 값은?","이차방정식의 근과 계수의 관계를 이용하여 두 근의 합 $\alpha+\beta=a+1$과 두 근의 곱 $\alpha\beta=a-2$를 식으로 세운다.","곱셈공식의 변형을 이용하여 주어진 조건인 $\alpha^2 + \beta^2 = 5$를 $(\alpha+\beta)^2 - 2\alpha\beta = 5$의 형태로 변형한다.","변형된 식에 앞서 구한 합과 곱을 대입하여 $(a+1)^2 - 2(a-2) = 5$라는 $a$에 대한 새로운 이차방정식을 세운다.","전개 후 인수분해하여 이차방정식을 풀고, 구해진 두 개의 해 중 양수 조건에 맞는 $a$를 최종 선택한다.",1-2-3-4
DESIGN_VT_020,설계,VERY TOUGH,"물 펌프 A로는 10시간, B로는 15시간 만에 저수지를 비운다. A 3대, B 2대로 동시에 빼다가 도중 A 1대가 고장나 남은 물을 빼는데 총 2시간 12분이 걸렸다. 고장 전까지 걸린 시간은?","저수지 전체 물의 양을 $1$로 두고, 펌프 A, B 한 대가 $1$시간 동안 빼는 일의 양을 각각 $\frac{1}{10}$과 $\frac{1}{15}$로 설정한다.","고장 나기 전 펌프 조합(A 3대, B 2대)과 고장 난 후 조합(A 2대, B 2대)이 $1$시간에 하는 일의 양을 각각 계산해둔다.","처음에 물을 뺀 시간을 $x$시간, 고장 난 후 물을 뺀 시간을 $y$시간으로 두고 총 시간에 대한 식 $x+y = 2.2$를 세운다.","전체 물의 양 $1$을 채우는 일에 대한 방정식 $\frac{13}{30}x + \frac{10}{30}y = 1$을 세우고, 앞선 식과 연립하여 풀어 $x$를 구한다.",1-2-3-4
DESIGN_VT_021,설계,VERY TOUGH,"다항식 $x^2(y-z) + y^2(z-x) + z^2(x-y)$를 올바르게 인수분해하는 과정은?","주어진 식을 완전히 전개한 후, 식의 구조를 파악하고 차수가 모두 같으므로 한 문자 $x$에 대하여 내림차순으로 다시 정리한다.","$x^2$이 포함된 항, $x$가 포함된 항, 그리고 나머지 상수항 그룹으로 묶어 식을 $(y-z)x^2 - (y^2-z^2)x + yz(y-z)$로 정리한다.","각 그룹에서 공통인수 $(y-z)$를 찾아 묶어내어 전체 식을 $(y-z)\{x^2 - (y+z)x + yz\}$ 형태의 대괄호 식으로 변형한다.","대괄호 안의 이차식이 $(x-y)(x-z)$로 인수분해됨을 확인하고, 꼴을 예쁘게 맞추기 위해 마이너스를 빼내어 $-(x-y)(y-z)(z-x)$로 완성한다.",1-2-3-4
DESIGN_VT_022,설계,VERY TOUGH,"청바지의 원가에 $30\%$ 이익을 붙여 정가를 정했다. 세일 기간에 정가에서 $20\%$를 할인하여 팔았더니 청바지 한 벌당 $2000$원의 이익이 생겼다. 청바지의 원가는?","구하고자 하는 청바지의 초기 원가를 미지수 $x$원으로 설정한다.","원가에 $30\%$의 이익을 더한 정가의 식을 $x(1+0.3)$ 즉, $1.3x$로 백분율을 적용하여 수식화한다.","정해진 정가에서 다시 $20\%$를 할인한 최종 판매 가격을 $1.3x(1-0.2)$ 즉, $1.04x$로 계산해 낸다.","최종적으로 '실제 판매 가격 - 원가 = 이익' 이라는 재무 구조를 이용하여 $1.04x - x = 2000$ 방정식을 세우고 원가를 구한다.",1-2-3-4
DESIGN_VT_023,설계,VERY TOUGH,"일차함수 $y=-x+6$ 위의 제 $1$사분면 점 $P$에서 $x$축, $y$축에 내린 수선의 발을 $Q, R$이라 하자. 직사각형 $OQPR$의 넓이가 최대일 때, 점 $P$의 좌표는? (O는 원점)","점 $P$의 $x$좌표를 $a$ ($0<a<6$)로 두고, $P$가 주어진 직선 위에 있음을 이용하여 $y$좌표를 $-a+6$으로 미지수 설정한다.","원점과 수선의 발로 이루어진 직사각형의 가로 길이는 $a$, 세로 길이는 $-a+6$이 됨을 확인하고, 넓이를 구하는 식 $a(-a+6)$을 세운다.","넓이를 나타내는 식을 전개하여 $a$에 대한 위로 볼록한 이차함수 형태인 $-a^2+6a$로 만든다.","이차함수 식을 완전제곱식 꼴인 $-(a-3)^2+9$로 변형하여 넓이가 최대가 되게 하는 $a$의 값을 찾고 점 $P$의 좌표를 확정한다.",1-2-3-4
DESIGN_VT_024,설계,VERY TOUGH,"좌표평면의 세 점 $A(-1, 4), B(3, 1), C(-2, -1)$을 꼭짓점으로 하는 삼각형 $ABC$가 있다. 일차함수 $y=ax+2$의 그래프가 이 삼각형과 만날 때, 상수 $a$의 최댓값과 최솟값의 합은?","주어진 일차함수 $y=ax+2$는 기울기 $a$의 값에 관계없이 $y$축 위의 고정된 점 $(0, 2)$를 항상 지난다는 핵심 특징을 파악한다.","고정된 점 $(0, 2)$를 중심으로 직선이 회전한다고 상상하고, 삼각형과 만나기 위해 한계선이 되는 두 꼭짓점 $A$와 $B$를 파악한다.","직선이 가장 가파를 때인 점 $A(-1, 4)$를 지날 때의 $a$값을 식에 대입하여 구하고 이를 최솟값으로 확정한다.","직선이 반대쪽 한계인 점 $B(3, 1)$을 지날 때의 $a$값을 식에 대입하여 구하고 이를 최댓값으로 확정한 뒤 두 값을 더한다.",1-2-3-4
DESIGN_VT_025,설계,VERY TOUGH,"세 정수 $a, b, c$에 대하여 다항식 $x^3 - 3x^2 + 2x + 5$를 $x-2$로 나누었을 때의 몫이 $x^2 + ax + b$이고 나머지가 $c$일 때, $a+b+c$의 값은?","다항식 나눗셈의 검산식 원리를 이용하여 $x^3 - 3x^2 + 2x + 5 = (x-2)(x^2 + ax + b) + c$ 라는 항등식을 세운다.","세워진 우변의 식을 모두 전개하여 $x^3 + (a-2)x^2 + (b-2a)x - 2b + c$ 형태로 내림차순 정리한다.","좌변과 우변이 완벽히 같은 항등식이므로, 이차항의 계수 비교를 통해 $a-2 = -3$ 식을 세우고 $a = -1$을 구한다.","일차항 계수 비교를 통해 $b$를 구하고, 상수항 비교를 통해 $c$를 구한 뒤 세 정수의 값을 모두 합하여 계산한다.",1-2-3-4
